Field,Label,Value
resource_6_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_6_resource_type,Resource Type,file.upload
resource_6_name,Resource Name,mwi_women_2020_csv.zip
resource_6_mimetype,MIME Type,application/zip
resource_6_size,Size,23.6M
resource_7_created,Created,2021-08-07T00:30:07.165149
resource_7_description,Description,
resource_7_format,File Format,CSV
resource_7_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/bb3bdf2c-924b-449e-969d-371c10c27d92/download/mwi_elderly_60_plus_2020_csv.zip
resource_7_id,Resource ID,bb3bdf2c-924b-449e-969d-371c10c27d92
resource_7_last_modified,Updated,2021-08-07T00:30:06.327530
resource_7_metadata_modified,Metadata Updated,2025-04-08T17:41:35.506593
resource_7_microdata,Microdata,False
resource_7_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_7_resource_type,Resource Type,file.upload
resource_7_name,Resource Name,mwi_elderly_60_plus_2020_csv.zip
resource_7_mimetype,MIME Type,application/zip
resource_7_size,Size,23.7M
resource_8_created,Created,2021-08-07T00:30:46.273941
resource_8_description,Description,
resource_8_format,File Format,CSV
resource_8_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/23e0da95-a7bf-4454-af53-35059efeed69/download/mwi_children_under_five_2020_csv.zip
resource_8_id,Resource ID,23e0da95-a7bf-4454-af53-35059efeed69
resource_8_last_modified,Updated,2021-08-07T00:30:45.432775
resource_8_metadata_modified,Metadata Updated,2025-04-08T17:41:36.182735
resource_8_microdata,Microdata,False
resource_8_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_8_resource_type,Resource Type,file.upload
resource_8_name,Resource Name,mwi_children_under_five_2020_csv.zip
resource_8_mimetype,MIME Type,application/zip
resource_8_size,Size,23.7M
resource_9_created,Created,2021-08-07T00:31:21.960875
resource_9_description,Description,
resource_9_format,File Format,GeoTIFF
resource_9_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/572791d1-3298-47b7-b299-ee3ed6d7ef12/download/mwi_women_of_reproductive_age_15_49_2020_geotiff.zip
resource_9_id,Resource ID,572791d1-3298-47b7-b299-ee3ed6d7ef12
resource_9_last_modified,Updated,2021-08-07T00:31:21.005793
resource_9_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794376
resource_9_microdata,Microdata,False
resource_9_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_9_resource_type,Resource Type,file.upload
resource_9_name,Resource Name,mwi_women_of_reproductive_age_15_49_2020_geotiff.zip
resource_9_mimetype,MIME Type,application/zip
resource_9_size,Size,19.9M
resource_10_created,Created,2021-08-07T00:31:57.491335
resource_10_description,Description,
resource_10_format,File Format,GeoTIFF
resource_10_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/f214fabd-ffcf-48d2-9958-ddeb5def8664/download/mwi_men_2020_geotiff.zip
resource_10_id,Resource ID,f214fabd-ffcf-48d2-9958-ddeb5def8664
resource_10_last_modified,Updated,2021-08-07T00:31:56.453164
resource_10_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794473
resource_10_microdata,Microdata,False
resource_10_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_10_resource_type,Resource Type,file.upload
resource_10_name,Resource Name,mwi_men_2020_geotiff.zip
resource_10_mimetype,MIME Type,application/zip
resource_10_size,Size,19.9M
resource_11_created,Created,2021-08-07T00:32:30.774166
resource_11_description,Description,
resource_11_format,File Format,GeoTIFF
resource_11_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/c6cc692e-084d-443f-9761-6f52a0331fd3/download/mwi_women_2020_geotiff.zip
resource_11_id,Resource ID,c6cc692e-084d-443f-9761-6f52a0331fd3
resource_11_last_modified,Updated,2021-08-07T00:32:29.618774
resource_11_metadata_modified,Metadata Updated,2023-03-03T03:32:24.794569
resource_11_microdata,Microdata,False
resource_11_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_11_resource_type,Resource Type,file.upload
resource_11_name,Resource Name,mwi_women_2020_geotiff.zip
resource_11_mimetype,MIME Type,application/zip
resource_11_size,Size,19.9M
resource_12_created,Created,2021-08-07T00:33:03.696424
resource_12_description,Description,
resource_12_format,File Format,GeoTIFF
resource_12_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/6de83337-c289-437b-b81d-cb1a805c777a/download/mwi_youth_15_24_2020_geotiff.zip
